repository,language,selectedfiles,nummult01,nummult02,nummult03,nummult04,nummult05,nummult06,nummult07,nummult08,nummult09
activeadmin/activeadmin,Ruby,441,376,375,372,368,358,325,254,153,46
ajaxorg/ace,JavaScript,735,453,453,447,418,385,341,259,189,94
alexreisner/geocoder,Ruby,148,104,100,97,91,82,72,51,31,8
android/platform_frameworks_base,Java,6221,3906,3886,3817,3703,3536,3263,2779,2031,469
ansible/ansible,Python,364,190,190,184,181,172,150,127,86,31
apache/cassandra,Java,1335,1157,1150,1123,1091,1012,871,694,436,140
atom/atom-shell,C++,408,229,214,190,155,105,60,16,7,1
bbatsov/rubocop,Ruby,548,489,488,488,486,475,429,339,245,131
bitcoin/bitcoin,C++,575,400,400,398,394,373,343,276,154,43
bjorn/tiled,C++,446,258,250,231,208,168,134,101,84,22
boto/boto,Python,642,500,497,488,476,458,427,346,224,36
bumptech/glide,Java,371,188,183,174,160,103,50,14,7,2
bundler/bundler,Ruby,199,171,170,169,166,161,147,122,72,28
bup/bup,Python,115,76,73,71,65,57,47,34,18,8
BVLC/caffe,C++,260,231,231,229,226,221,200,161,105,45
caskroom/homebrew-cask,Ruby,2625,2292,2292,2288,2282,2274,2246,2204,2077,1383
celery/celery,Python,264,130,81,54,35,30,24,19,15,5
celluloid/celluloid,Ruby,94,77,76,71,68,57,48,30,14,4
chef/chef,Ruby,1422,1136,1136,1135,1124,1074,988,777,495,154
clojure/clojure,Java,277,193,185,176,165,153,131,97,59,4
cocos2d/cocos2d-x,C++,2682,2070,2068,2049,2016,1925,1758,1414,897,303
codemirror/CodeMirror,JavaScript,379,307,304,294,269,243,216,193,168,90
composer/composer,PHP,350,284,281,267,255,239,212,159,108,42
cucumber/cucumber,Ruby,176,141,137,126,120,109,91,69,41,9
diaspora/diaspora,Ruby,1166,974,974,973,966,948,892,741,477,141
divio/django-cms,Python,579,417,417,415,412,398,368,317,228,90
django/django,Python,1804,1613,1612,1609,1599,1580,1522,1345,845,200
driftyco/ionic,JavaScript,395,233,232,226,220,200,173,144,82,22
dropwizard/dropwizard,Java,438,274,272,265,244,205,161,130,86,30
dropwizard/metrics,Java,199,151,150,147,142,128,104,55,35,7
drupal/drupal,PHP,5659,4602,4602,4599,4599,4583,4462,3823,2704,943
elasticsearch/elasticsearch,Java,3983,3477,3472,3408,3248,3006,2543,1715,1159,301
elasticsearch/logstash,Ruby,125,95,95,86,83,75,67,55,42,8
emberjs/ember.js,JavaScript,640,585,585,585,583,577,566,503,404,222
erikhuda/thor,Ruby,81,72,70,68,57,51,38,26,17,7
Eugeny/ajenti,Python,289,88,79,72,63,45,30,17,10,1
excilys/androidannotations,Java,624,599,599,597,596,590,508,362,174,63
facebook/osquery,C++,241,190,190,189,182,166,143,96,64,20
facebook/presto,Java,2035,1490,1490,1477,1436,1349,1212,950,667,193
fog/fog,Ruby,4169,3020,3020,3014,3001,2976,2860,2461,1807,375
FriendsOfPHP/PHP-CS-Fixer,PHP,211,140,139,139,137,125,112,86,69,23
fzaninotto/Faker,PHP,338,247,247,247,246,239,224,189,109,11
getsentry/sentry,Python,921,336,313,292,243,173,119,52,29,5
git/git,C,1456,1189,1184,1173,1159,1116,1025,854,554,162
github/android,Java,390,264,260,252,231,192,153,125,58,22
github/linguist,Ruby,44,36,35,33,27,25,21,15,9,5
gradle/gradle,Java,7360,5335,5335,5302,5140,4767,4162,3117,2001,718
gruntjs/grunt,JavaScript,23,18,15,10,7,7,4,4,1,0
haml/haml,Ruby,96,91,91,90,88,87,79,64,41,9
Homebrew/homebrew,Ruby,3260,3047,3046,3039,3016,2979,2905,2779,2266,786
iojs/io.js,JavaScript,1194,1096,1094,1086,1069,1038,984,865,546,110
ipython/ipython,Python,701,603,597,583,562,517,449,335,244,103
