repository,language,selectedfiles,nummult02,nummult03,nummult04,nummult05,nummult06,nummult07,nummult08,nummult09
BVLC/caffe,C-CPP,260,231,229,226,222,204,163,107,47
Eugeny/ajenti,Python,290,199,199,197,189,174,135,102,22
FriendsOfPHP/PHP-CS-Fixer,PHP,211,139,139,137,125,112,86,70,23
Homebrew/homebrew,Ruby,3260,3048,3041,3020,2979,2909,2784,2282,810
Itseez/opencv,C-CPP,1818,1442,1420,1368,1254,1058,762,461,140
JetBrains/intellij-community,Java,56393,31287,31088,30721,29900,28257,24022,16544,3827
JohnLangford/vowpal_wabbit,C-CPP,255,209,200,186,161,137,112,86,52
Leaflet/Leaflet,JavaScript,163,138,128,98,81,70,47,30,2
ReactiveX/RxJava,Java,410,365,364,358,305,259,167,112,57
Respect/Validation,PHP,337,279,278,268,232,195,171,110,22
SFTtech/openage,C-CPP,285,241,236,229,218,193,133,82,24
Seldaek/monolog,PHP,148,136,135,135,133,122,102,65,20
Shopify/active_merchant,Ruby,512,422,422,417,399,348,292,210,58
ThinkUpLLC/ThinkUp,PHP,860,727,701,649,562,499,416,323,140
TryGhost/Ghost,JavaScript,577,470,470,469,465,452,411,288,65
WordPress/WordPress,PHP,695,664,645,605,542,482,395,284,132
activeadmin/activeadmin,Ruby,441,378,376,373,365,339,267,172,55
ajaxorg/ace,JavaScript,735,453,447,426,395,341,263,194,97
alexreisner/geocoder,Ruby,149,100,97,91,82,72,52,35,8
android/platform_frameworks_base,Java,6221,3900,3839,3730,3562,3299,2830,2152,598
ansible/ansible,Python,365,190,186,184,176,157,132,93,29
apache/cassandra,Java,1335,1147,1117,1078,998,865,692,447,152
atom/atom-shell,C-CPP,410,214,190,155,105,60,16,7,1
bbatsov/rubocop,Ruby,550,500,500,499,487,455,363,244,128
bitcoin/bitcoin,C-CPP,578,402,399,396,377,349,283,172,57
bjorn/tiled,C-CPP,448,310,307,300,282,258,218,167,55
boto/boto,Python,643,502,498,492,477,450,379,243,44
bumptech/glide,Java,372,195,187,181,129,77,39,26,8
bundler/bundler,Ruby,259,191,188,179,170,156,127,82,35
bup/bup,Python,115,73,71,65,57,48,35,18,7
caskroom/homebrew-cask,Ruby,2625,2292,2288,2282,2272,2246,2204,2081,1398
celery/celery,Python,267,177,159,141,125,100,79,51,19
celluloid/celluloid,Ruby,96,81,79,75,67,60,44,22,5
chef/chef,Ruby,1425,1202,1201,1191,1147,1069,837,538,172
clojure/clojure,Java,278,187,178,167,155,133,101,62,4
cocos2d/cocos2d-x,C-CPP,2684,2075,2062,2033,1947,1784,1444,946,344
codemirror/CodeMirror,JavaScript,379,304,293,268,244,217,194,170,91
composer/composer,PHP,350,281,267,255,239,212,159,108,43
cucumber/cucumber,Ruby,181,141,131,124,112,95,72,45,12
diaspora/diaspora,Ruby,1174,987,987,981,961,913,773,514,166
divio/django-cms,Python,580,418,416,414,401,378,335,247,104
django/django,Python,2581,2341,2338,2323,2292,2212,1954,1215,300
django/django-old,Python,1283,753,751,746,725,666,518,325,88
driftyco/ionic,JavaScript,399,238,234,228,216,191,162,91,31
dropwizard/dropwizard,Java,438,272,265,244,205,160,129,86,30
dropwizard/metrics,Java,199,150,147,141,128,104,55,44,18
drupal/drupal,PHP,5661,4621,4618,4615,4587,4424,3795,2686,919
elasticsearch/elasticsearch,Java,3983,3472,3408,3247,3006,2543,1714,1159,301
elasticsearch/logstash,Ruby,130,97,88,85,77,69,57,45,11
emberjs/ember.js,JavaScript,643,589,589,586,581,569,510,412,236
erikhuda/thor,Ruby,87,73,71,60,53,42,28,17,8
excilys/androidannotations,Java,624,599,597,596,590,509,363,176,65
facebook/osquery,C-CPP,241,192,191,184,168,145,97,64,20
facebook/presto,Java,2035,1506,1494,1454,1368,1234,979,692,200
fog/fog,Ruby,4171,3029,3024,3011,2988,2876,2527,1923,691
fzaninotto/Faker,PHP,338,248,248,247,240,223,189,112,17
getsentry/sentry,Python,928,325,305,256,183,129,60,34,7
git/git,C-CPP,1459,1194,1191,1177,1143,1074,940,629,192
github/android,Java,390,260,252,232,193,152,126,60,25
github/linguist,Ruby,45,35,33,27,26,22,16,11,6
gradle/gradle,Java,7360,5454,5429,5318,5037,4495,3429,2192,780
gruntjs/grunt,JavaScript,23,15,10,7,7,4,4,1,0
haml/haml,Ruby,240,163,156,143,135,120,99,74,23
iojs/io.js,JavaScript,1203,1097,1090,1073,1041,994,875,564,117
ipython/ipython,Python,703,598,585,561,516,451,334,244,106
