repository,language,selectedfiles,nummult01,nummult02,nummult03,nummult04,nummult05,nummult06,nummult07,nummult08,nummult09
activeadmin/activeadmin,Ruby,441,380,378,376,373,365,339,267,172,55
ajaxorg/ace,JavaScript,735,453,453,447,426,395,341,263,194,97
alexreisner/geocoder,Ruby,149,104,100,97,91,82,72,52,35,8
android/platform_frameworks_base,Java,6221,3919,3900,3839,3730,3562,3299,2830,2152,598
ansible/ansible,Python,365,190,190,186,184,176,157,132,93,29
apache/cassandra,Java,1335,1159,1147,1117,1078,998,865,692,447,152
atom/atom-shell,C++,410,229,214,190,155,105,60,16,7,1
bbatsov/rubocop,Ruby,550,500,500,500,499,487,455,363,244,128
bitcoin/bitcoin,C++,578,402,402,399,396,377,349,283,172,57
bjorn/tiled,C++,448,310,310,307,300,282,258,218,167,55
boto/boto,Python,643,503,502,498,492,477,450,379,243,44
bumptech/glide,Java,372,199,195,187,181,129,77,39,26,8
bundler/bundler,Ruby,259,194,191,188,179,170,156,127,82,35
bup/bup,Python,115,76,73,71,65,57,48,35,18,7
BVLC/caffe,C++,260,231,231,229,226,222,204,163,107,47
caskroom/homebrew-cask,Ruby,2625,2292,2292,2288,2282,2272,2246,2204,2081,1398
celery/celery,Python,267,185,177,159,141,125,100,79,51,19
celluloid/celluloid,Ruby,96,81,81,79,75,67,60,44,22,5
chef/chef,Ruby,1425,1202,1202,1201,1191,1147,1069,837,538,172
clojure/clojure,Java,278,195,187,178,167,155,133,101,62,4
cocos2d/cocos2d-x,C++,2684,2077,2075,2062,2033,1947,1784,1444,946,344
codemirror/CodeMirror,JavaScript,379,307,304,293,268,244,217,194,170,91
composer/composer,PHP,350,284,281,267,255,239,212,159,108,43
cucumber/cucumber,Ruby,181,146,141,131,124,112,95,72,45,12
diaspora/diaspora,Ruby,1174,987,987,987,981,961,913,773,514,166
divio/django-cms,Python,580,418,418,416,414,401,378,335,247,104
django/django,Python,2581,2342,2341,2338,2323,2292,2212,1954,1215,300
django/django-old,Python,1283,753,753,751,746,725,666,518,325,88
driftyco/ionic,JavaScript,399,238,238,234,228,216,191,162,91,31
dropwizard/dropwizard,Java,438,274,272,265,244,205,160,129,86,30
dropwizard/metrics,Java,199,151,150,147,141,128,104,55,44,18
drupal/drupal,PHP,5661,4621,4621,4618,4615,4587,4424,3795,2686,919
elasticsearch/elasticsearch,Java,3983,3477,3472,3408,3247,3006,2543,1714,1159,301
elasticsearch/logstash,Ruby,130,98,97,88,85,77,69,57,45,11
emberjs/ember.js,JavaScript,643,589,589,589,586,581,569,510,412,236
erikhuda/thor,Ruby,87,75,73,71,60,53,42,28,17,8
Eugeny/ajenti,Python,290,199,199,199,197,189,174,135,102,22
excilys/androidannotations,Java,624,599,599,597,596,590,509,363,176,65
facebook/osquery,C++,241,192,192,191,184,168,145,97,64,20
facebook/presto,Java,2035,1506,1506,1494,1454,1368,1234,979,692,200
fog/fog,Ruby,4171,3030,3029,3024,3011,2988,2876,2527,1923,691
FriendsOfPHP/PHP-CS-Fixer,PHP,211,140,139,139,137,125,112,86,70,23
fzaninotto/Faker,PHP,338,248,248,248,247,240,223,189,112,17
getsentry/sentry,Python,928,348,325,305,256,183,129,60,34,7
git/git,C,1459,1201,1194,1191,1177,1143,1074,940,629,192
github/android,Java,390,264,260,252,232,193,152,126,60,25
github/linguist,Ruby,45,36,35,33,27,26,22,16,11,6
gradle/gradle,Java,7360,5454,5454,5429,5318,5037,4495,3429,2192,780
gruntjs/grunt,JavaScript,23,18,15,10,7,7,4,4,1,0
haml/haml,Ruby,240,164,163,156,143,135,120,99,74,23
Homebrew/homebrew,Ruby,3260,3049,3048,3041,3020,2979,2909,2784,2282,810
iojs/io.js,JavaScript,1203,1099,1097,1090,1073,1041,994,875,564,117
ipython/ipython,Python,703,604,598,585,561,516,451,334,244,106
Itseez/opencv,C++,1818,1450,1442,1420,1368,1254,1058,762,461,140
jadejs/jade,JavaScript,305,153,153,149,149,145,139,127,102,15
janl/mustache.js,JavaScript,122,49,49,49,49,49,48,47,45,31
jashkenas/backbone,JavaScript,18,12,11,11,10,9,8,5,3,1
jekyll/jekyll,Ruby,159,116,116,115,112,107,95,71,58,22
JetBrains/intellij-community,Java,56393,31334,31287,31088,30721,29900,28257,24022,16544,3827
jnicklas/capybara,Ruby,151,116,115,113,106,97,85,67,53,18
JohnLangford/vowpal_wabbit,C++,255,212,209,200,186,161,137,112,86,52
joomla/joomla-cms,PHP,2963,2920,2920,2918,2912,2893,2835,2600,1983,889
jquery/jquery,JavaScript,182,151,150,147,146,140,133,112,77,32
jquery/jquery-ui,JavaScript,490,478,478,476,465,454,407,340,258,131
jrburke/requirejs,PHP,613,72,69,69,68,68,68,68,66,28
justinfrench/formtastic,Ruby,160,126,124,122,112,92,71,57,42,11
kivy/kivy,Python,321,300,300,299,293,274,249,192,131,64
koush/ion,Java,115,19,15,13,10,6,6,3,0,0
kriswallsmith/assetic,PHP,233,178,178,171,152,116,81,61,38,13
Leaflet/Leaflet,JavaScript,163,145,138,128,98,81,70,47,30,2
less/less.js,JavaScript,372,199,199,196,191,176,157,135,109,35
libgdx/libgdx,Java,3349,2844,2844,2837,2805,2733,2536,2192,1835,499
mailpile/Mailpile,Python,320,271,258,235,201,170,137,85,60,14
mbostock/d3,JavaScript,512,281,279,274,255,205,161,105,76,31
meskyanichi/backup,Ruby,202,141,141,139,139,139,132,116,76,35
meteor/meteor,JavaScript,657,462,461,453,446,427,393,320,212,103
mitchellh/vagrant,Ruby,937,532,520,499,462,409,344,239,166,28
mitsuhiko/flask,Python,60,58,57,55,49,43,36,30,16,9
moment/moment,JavaScript,219,200,200,200,200,200,192,178,160,101
mongoid/mongoid,Ruby,691,415,388,361,323,268,202,119,87,15
mozilla/pdf.js,JavaScript,157,128,128,128,126,123,112,86,51,20
mrdoob/three.js,JavaScript,411,249,243,236,217,187,149,114,68,26
nate-parrott/Flashlight,Python,776,80,77,77,77,76,68,60,51,11
netty/netty,Java,1594,1205,1204,1164,1031,931,869,717,538,165
nicolasgramlich/AndEngine,Java,599,364,364,360,356,346,331,306,246,131
odoo/odoo,Python,2384,1972,1968,1940,1908,1844,1751,1550,1135,355
omab/django-social-auth,Python,102,88,87,84,79,72,65,54,43,24
openframeworks/openFrameworks,C++,2010,1551,1546,1532,1510,1473,1426,1356,1230,193
paulasmuth/fnordmetric,C++,425,65,63,49,39,26,17,7,2,2
phacility/phabricator,PHP,3802,2957,2957,2942,2893,2776,2528,2004,1394,315
php/php-src,C,15472,10574,10560,10540,10489,10399,10192,9302,7801,2351
plataformatec/devise,Ruby,227,201,201,195,184,175,149,120,72,24
powerline/powerline,Python,190,117,117,116,115,111,108,95,77,34
prawnpdf/prawn,Ruby,194,184,184,182,178,170,152,114,52,20
puphpet/puphpet,PHP,307,130,125,112,98,88,81,73,64,8
puppetlabs/puppet,Ruby,2208,1849,1845,1831,1806,1758,1647,1445,1087,364
pydata/pandas,Python,417,328,323,307,283,249,219,164,109,34
rails/rails,Ruby,2320,1748,1745,1742,1720,1657,1550,1369,932,300
ratchetphp/Ratchet,PHP,89,81,79,74,65,51,38,13,4,0
ReactiveX/RxJava,Java,410,365,365,364,358,305,259,167,112,57
Respect/Validation,PHP,337,280,279,278,268,232,195,171,110,22
resque/resque,Ruby,77,72,72,69,66,64,61,50,31,7
rg3/youtube-dl,Python,546,450,448,443,441,429,402,310,216,71
ruby/ruby,Ruby,3484,2563,2556,2526,2437,2258,1993,1407,834,184
saltstack/salt,Python,1267,1153,1147,1132,1106,1056,964,764,518,178
sampsyo/beets,Python,131,126,122,114,107,94,81,61,41,26
sandstorm-io/capnproto,C++,229,181,168,140,115,83,55,20,12,2
sass/sass,Ruby,313,229,229,226,215,198,174,124,85,32
scikit-learn/scikit-learn,C,441,381,380,367,352,319,268,209,135,62
sebastianbergmann/phpunit,PHP,393,297,259,205,161,146,138,122,109,26
Seldaek/monolog,PHP,148,136,136,135,135,133,122,102,65,20
sferik/twitter,Ruby,162,102,89,66,41,29,22,17,11,8
SFTtech/openage,C++,285,242,241,236,229,218,193,133,82,24
Shopify/active_merchant,Ruby,512,422,422,422,417,399,348,292,210,58
silexphp/Silex,PHP,105,82,82,81,79,75,68,52,25,4
sparklemotion/nokogiri,Java,322,226,226,219,210,182,149,81,52,17
spotify/luigi,Python,140,132,132,132,132,129,121,107,72,12
spring-projects/spring-framework,Java,5846,5546,5546,5541,5519,5457,5245,4675,3566,1688
sstephenson/sprockets,Ruby,106,38,32,22,16,12,8,3,1,1
strongloop/express,JavaScript,104,87,82,80,79,73,70,56,31,9
substack/node-browserify,JavaScript,289,51,50,48,48,44,38,34,31,6
thinkaurelius/titan,Java,1361,655,652,639,614,547,454,332,241,109
ThinkUpLLC/ThinkUp,PHP,860,732,727,701,649,562,499,416,323,140
